,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3008L-L8E,35,43,-,-
CBL-PWCD-0578-1,70,23012,-,-
CBL-SAST-0593,70,14678,-,-
EWCSC,35,0,-,-
HDS-I2T0-SSDSC2KB038T8,140,229,1000,10/30/2020(0/1000)
HDS-I2T0-SSDSC2KB960G8,70,716,-,-
MC0037,35,0,-,-
MEM-DR432L-CL01-ER29,840,8400,15000,None; None
OS4HR3,35,0,-,-
OSDMR3,35,0,-,-
P4X-CLX6230R-SRGZA,70,362,2976,12/31/2020(300/600); 12/31/2020(0/600); None; None; None; None; None; None
SFT-DCMS-SINGLE,35,0,-,-
SFT-DCMS-SVC-KEY,35,0,-,-
SMMSG3,35,0,-,-
SYS-1029U-TRT,35,14,-,-
